id,id_pengambil,id_consumable,tanggal_peminjaman,jumlah
TC9760102011,Zaccheus,C976,10/01/2002,11
TC7220506587,Victoria,C722,27/05/2006,587
TC9611214961,Hamilton,C961,24/12/2014,961
TC4180914865,Beatrice,C418,10/09/2014,865
TC2850303758,Jean,C285,10/03/2003,758
TC9910304666,Sven,C991,27/03/2004,666
TC6290215887,Ursula,C629,21/02/2015,887
TC9000820193,Dave,C900,23/08/2020,193
TC9680100151,Ursula,C968,02/01/2000,151
TC9390707723,William,C939,11/07/2007,723
TC2411016557,Randal,C241,25/10/2016,557
TC3860800072,Faris,C386,15/08/2000,72
TC2140205101,Dave,C214,28/02/2005,101
TC1540501628,Jean,C154,14/05/2001,628
TC7970305430,Priscilla,C797,19/03/2005,430
TC4890713586,Faris,C489,11/07/2013,586
TC6730511539,Randal,C673,22/05/2011,539
TC7270419794,Ursula,C727,01/04/2019,794
TC4750700147,Dave,C475,12/07/2000,147
TC9671202385,Victoria,C967,11/12/2002,385
TC2711110448,Faris,C271,08/11/2010,448
TC3990107399,Zaccheus,C399,03/01/2007,399
TC2301107912,Jean,C230,26/11/2007,912
TC4740506194,Jean,C474,04/05/2006,194
TC8000316722,Maureen,C800,05/03/2016,722
TC6231200493,Courtney,C623,21/12/2000,493
TC2840804649,Ethan,C284,01/08/2004,649
TC7201014149,Yaeger,C720,24/10/2014,149
TC2211118598,Nobita,C221,26/11/2018,598
TC7420502010,William,C742,10/05/2002,10
TC9350701857,Laetitia,C935,18/07/2001,857
TC9790207619,Randal,C979,23/02/2007,619
TC6611006471,Victoria,C661,07/10/2006,471
TC9970708463,Ethan,C997,06/07/2008,463
TC2300420489,Maureen,C230,28/04/2020,489
TC2681200030,Sven,C268,13/12/2000,30
TC8710411033,Courtney,C871,13/04/2011,33
TC9260511740,Beatrice,C926,09/05/2011,740
TC3180510895,Jean,C318,11/05/2010,895
TC9980519565,Zaccheus,C998,19/05/2019,565
TC5550219428,Tabatha,C555,14/02/2019,428
TC7150300212,Ethan,C715,19/03/2000,212
TC1630202784,Ava,C163,18/02/2002,784
TC1410901256,Ignis,C141,19/09/2001,256
TC3280517620,Beatrice,C328,01/05/2017,620
TC1380910989,Ignis,C138,18/09/2010,989
TC4340908897,Xander,C434,12/09/2008,897
TC5640219454,Ava,C564,28/02/2019,454
TC9550713800,Ethan,C955,12/07/2013,800
TC5550510252,Victoria,C555,20/05/2010,252
TC5570214802,Priscilla,C557,05/02/2014,802
TC3911114771,Sven,C391,01/11/2014,771
TC7390503301,Priscilla,C739,02/05/2003,301
TC2791010599,Priscilla,C279,15/10/2010,599
TC3660419099,Hamilton,C366,10/04/2019,99
TC7781115486,Hamilton,C778,04/11/2015,486
TC6830702701,Dave,C683,07/07/2002,701
TC1191106111,Dave,C119,08/11/2006,111
TC8971218637,Tabatha,C897,28/12/2018,637
TC4010409078,Priscilla,C401,08/04/2009,78
TC9260415531,Laetitia,C926,10/04/2015,531
TC4661219464,Ophelia,C466,23/12/2019,464
TC3890107464,Randal,C389,01/01/2007,464
TC0800707389,Maureen,C080,03/07/2007,389
TC0820312396,Victoria,C082,22/03/2012,396
TC9391206479,Dave,C939,22/12/2006,479
TC6841109694,Courtney,C684,04/11/2009,694
TC3360907156,Ursula,C336,26/09/2007,156
TC9920707645,Maureen,C992,21/07/2007,645
TC1200100854,Ursula,C120,04/01/2000,854
TC2150414414,Tabatha,C215,20/04/2014,414
TC6170514499,Victoria,C617,17/05/2014,499
TC1430707815,Courtney,C143,18/07/2007,815
TC9850702419,Ethan,C985,20/07/2002,419
TC4810100772,Courtney,C481,16/01/2000,772
TC7210311308,Tabatha,C721,25/03/2011,308
TC3890703023,Courtney,C389,28/07/2003,23
TC0671004903,Yaeger,C067,25/10/2004,903
TC7860818518,Tabatha,C786,19/08/2018,518
TC9730902504,Yaeger,C973,07/09/2002,504
TC8130411202,Sven,C813,21/04/2011,202
TC2530911373,Nobita,C253,26/09/2011,373
TC2870409939,Yaeger,C287,07/04/2009,939
TC5600309793,Maureen,C560,20/03/2009,793
TC1840615742,Dave,C184,01/06/2015,742
TC9130820756,Faris,C913,02/08/2020,756
TC9051000995,Dave,C905,05/10/2000,995
TC6570917094,William,C657,11/09/2017,94
TC8290504016,Laetitia,C829,10/05/2004,16
TC8181215981,Laetitia,C818,07/12/2015,981
TC4160909703,Laetitia,C416,13/09/2009,703
TC9490711232,Yaeger,C949,17/07/2011,232
TC1980308359,Hamilton,C198,20/03/2008,359
TC2170411624,George,C217,16/04/2011,624
TC9691216538,Victoria,C969,28/12/2016,538
TC9341013319,Ethan,C934,09/10/2013,319
TC6741215244,Ophelia,C674,21/12/2015,244
TC4160813611,Priscilla,C416,06/08/2013,611
TC7191117554,Ethan,C719,26/11/2017,554
TC7410619264,Jean,C741,27/06/2019,264
TC8900418277,Priscilla,C890,19/04/2018,277
TC8571219753,George,C857,07/12/2019,753
TC5570819904,Nobita,C557,13/08/2019,904
TC1951002539,Ethan,C195,13/10/2002,539
TC2810504620,Ethan,C281,27/05/2004,620
TC2320101458,William,C232,06/01/2001,458
TC8530817871,Xander,C853,21/08/2017,871
TC6000514120,Ignis,C600,08/05/2014,120
TC4491209240,Zaccheus,C449,08/12/2009,240
TC0090508126,Ignis,C009,11/05/2008,126
TC3890508550,Priscilla,C389,22/05/2008,550
TC5200108325,Ignis,C520,22/01/2008,325
TC2150120979,Laetitia,C215,24/01/2020,979
TC5600303267,Xander,C560,12/03/2003,267
TC1440615032,Beatrice,C144,06/06/2015,32
TC1981206766,Katnis,C198,07/12/2006,766
TC1101020091,Courtney,C110,05/10/2020,91
TC3030907764,Courtney,C303,11/09/2007,764
TC6090920005,Dave,C609,25/09/2020,5
TC9900904215,William,C990,04/09/2004,215
TC3210220741,Randal,C321,01/02/2020,741
TC9430517580,Ignis,C943,27/05/2017,580
TC0200607035,Xander,C020,03/06/2007,35
TC6600607888,Tabatha,C660,14/06/2007,888
TC3170119973,Courtney,C317,11/01/2019,973
TC4420812735,Beatrice,C442,22/08/2012,735
TC4600306474,Katnis,C460,21/03/2006,474
TC3370419209,Nobita,C337,03/04/2019,209
TC0530301923,Yaeger,C053,04/03/2001,923
TC8480903331,Jean,C848,21/09/2003,331
TC2790720561,Dave,C279,17/07/2020,561
TC7700811517,Quake,C770,21/08/2011,517
TC5191209655,Courtney,C519,15/12/2009,655
TC5240202751,Randal,C524,20/02/2002,751
TC2951101627,William,C295,03/11/2001,627
TC5700305803,George,C570,12/03/2005,803
TC2170907382,Sven,C217,01/09/2007,382
TC5120518616,Dave,C512,05/05/2018,616
TC2990606646,George,C299,13/06/2006,646
TC7981117926,Laetitia,C798,12/11/2017,926
TC7721011622,Ursula,C772,27/10/2011,622
TC6720312492,Randal,C672,08/03/2012,492
TC7430415529,Ethan,C743,20/04/2015,529
TC5990416893,Beatrice,C599,21/04/2016,893
TC3870919078,Quake,C387,23/09/2019,78
TC1041012580,George,C104,25/10/2012,580
TC4181117114,Quake,C418,12/11/2017,114
TC0460608914,Ignis,C046,16/06/2008,914
TC7990600200,Jean,C799,16/06/2000,200
TC3240908279,William,C324,20/09/2008,279
TC3310302234,Sven,C331,17/03/2002,234
TC8080806424,Jean,C808,06/08/2006,424
TC2840320620,Courtney,C284,22/03/2020,620
TC3311005257,Beatrice,C331,19/10/2005,257
TC0350805745,Maureen,C035,22/08/2005,745
TC6460600682,Jean,C646,03/06/2000,682
TC0550607258,Quake,C055,23/06/2007,258
TC0150816876,William,C015,06/08/2016,876
TC6170101312,Nobita,C617,28/01/2001,312
TC4491109768,Priscilla,C449,01/11/2009,768
TC1460601979,Xander,C146,07/06/2001,979
TC8620609901,Priscilla,C862,20/06/2009,901
TC8010314606,Yaeger,C801,07/03/2014,606
TC8920214039,Courtney,C892,25/02/2014,39
TC1120511769,Priscilla,C112,08/05/2011,769
TC5100105534,William,C510,24/01/2005,534
TC6840419500,Priscilla,C684,11/04/2019,500
TC0851110462,Ava,C085,08/11/2010,462
TC4661204963,Maureen,C466,01/12/2004,963
TC2270505474,Randal,C227,27/05/2005,474
TC8680306496,Randal,C868,03/03/2006,496
TC9840220506,George,C984,03/02/2020,506
TC1330118921,Nobita,C133,18/01/2018,921
TC1670818637,Xander,C167,23/08/2018,637
TC2581010543,Xander,C258,17/10/2010,543
TC4450813472,Ignis,C445,17/08/2013,472
TC1700500197,Xander,C170,18/05/2000,197
TC4600610091,Randal,C460,12/06/2010,91
TC3241201956,Victoria,C324,21/12/2001,956
TC0700816991,Ophelia,C070,17/08/2016,991
TC2400500420,Yaeger,C240,27/05/2000,420
TC3500820732,Priscilla,C350,08/08/2020,732
TC3101214847,Ethan,C310,16/12/2014,847
TC9110807393,Quake,C911,23/08/2007,393
TC3910111158,Ignis,C391,09/01/2011,158
TC3190516608,Laetitia,C319,27/05/2016,608
TC3310618599,Quake,C331,14/06/2018,599
TC7630401790,Zaccheus,C763,18/04/2001,790
TC0340510030,Quake,C034,10/05/2010,30
TC1771105126,Quake,C177,01/11/2005,126
TC2370607460,Katnis,C237,19/06/2007,460
TC9510304657,Katnis,C951,14/03/2004,657
TC6861020504,Nobita,C686,02/10/2020,504
TC2770618674,Ignis,C277,07/06/2018,674
TC9670904373,Hamilton,C967,17/09/2004,373
TC1400606988,Maureen,C140,20/06/2006,988
TC7660903733,Ignis,C766,13/09/2003,733
TC4861118322,Quake,C486,26/11/2018,322
TC1381214784,Priscilla,C138,05/12/2014,784
TC1911001414,Xander,C191,28/10/2001,414
TC2570618448,Maureen,C257,12/06/2018,448
TC4131210068,Xander,C413,07/12/2010,68
TC3210414386,Ophelia,C321,01/04/2014,386
TC4590514228,Hamilton,C459,22/05/2014,228
TC9450803529,George,C945,15/08/2003,529
TC0490104718,Yaeger,C049,05/01/2004,718
TC6021107812,Ava,C602,10/11/2007,812
TC3430316399,George,C343,09/03/2016,399
TC1720110387,Quake,C172,04/01/2010,387
TC4251101384,Dave,C425,15/11/2001,384
TC4350715414,Ethan,C435,11/07/2015,414
TC4150519024,Yaeger,C415,07/05/2019,24
TC3950208234,Maureen,C395,19/02/2008,234
TC1560800990,Randal,C156,10/08/2000,990
TC1060217315,Yaeger,C106,21/02/2017,315
TC1890610255,Ethan,C189,08/06/2010,255
TC6950705383,Hamilton,C695,23/07/2005,383
TC1771106417,George,C177,14/11/2006,417
TC8071020915,Jean,C807,12/10/2020,915
TC6841209907,Dave,C684,10/12/2009,907
TC8430207965,Zaccheus,C843,01/02/2007,965
TC0000300576,Ava,C000,10/03/2000,576
TC4920318495,Hamilton,C492,07/03/2018,495
TC8641102302,Priscilla,C864,03/11/2002,302
TC7560808033,Courtney,C756,20/08/2008,33
TC1360906443,Nobita,C136,07/09/2006,443
TC2890903629,Faris,C289,23/09/2003,629
TC0530408023,Maureen,C053,16/04/2008,23
TC0040107868,Courtney,C004,04/01/2007,868
TC4551118668,Zaccheus,C455,02/11/2018,668
TC7550713555,Ursula,C755,15/07/2013,555
TC1710504385,Faris,C171,21/05/2004,385
TC3980209923,Katnis,C398,20/02/2009,923
TC8120605110,Beatrice,C812,18/06/2005,110
TC7100705608,Courtney,C710,14/07/2005,608
TC1281109979,Priscilla,C128,12/11/2009,979
TC3440609317,Yaeger,C344,13/06/2009,317
TC4150820533,Tabatha,C415,13/08/2020,533
TC4800810658,Hamilton,C480,24/08/2010,658
TC8510100207,Priscilla,C851,23/01/2000,207
TC5300614046,Tabatha,C530,22/06/2014,46
TC4150810039,Beatrice,C415,09/08/2010,39
TC0740908495,Maureen,C074,17/09/2008,495
TC0911009575,Laetitia,C091,07/10/2009,575
TC0050809767,Katnis,C005,12/08/2009,767
TC2450707145,Ophelia,C245,08/07/2007,145
TC7430311426,Victoria,C743,05/03/2011,426
TC1500605066,Yaeger,C150,26/06/2005,66
TC4710805504,William,C471,20/08/2005,504
TC1230508941,Priscilla,C123,20/05/2008,941
TC5150905985,Randal,C515,24/09/2005,985
TC8280402172,Hamilton,C828,18/04/2002,172
TC5261216381,Ava,C526,24/12/2016,381
TC0521020613,Katnis,C052,03/10/2020,613
TC1520400998,Zaccheus,C152,28/04/2000,998
TC9061110744,Hamilton,C906,28/11/2010,744
TC6190602048,Nobita,C619,19/06/2002,48
TC7250501673,Quake,C725,15/05/2001,673
TC6460715722,Ursula,C646,19/07/2015,722
TC6490906201,Faris,C649,04/09/2006,201
TC6131106043,Courtney,C613,26/11/2006,43
TC3770203402,Courtney,C377,10/02/2003,402
TC4530117139,Ursula,C453,24/01/2017,139
TC8180903892,Courtney,C818,17/09/2003,892
TC3490620144,Maureen,C349,06/06/2020,144
TC8550305088,Randal,C855,17/03/2005,88
TC6371014368,Sven,C637,18/10/2014,368
TC5190815926,Laetitia,C519,25/08/2015,926
TC6870405704,Yaeger,C687,07/04/2005,704
TC1060910260,Ursula,C106,17/09/2010,260
TC4920220033,William,C492,01/02/2020,33
TC4590903336,Beatrice,C459,12/09/2003,336
TC8441014454,Dave,C844,01/10/2014,454
TC1030320433,Katnis,C103,24/03/2020,433
TC1990310689,Ophelia,C199,05/03/2010,689
TC3590620551,Ignis,C359,03/06/2020,551
TC6640205429,Ava,C664,28/02/2005,429
TC3400713334,Faris,C340,25/07/2013,334
TC5330116496,Ursula,C533,07/01/2016,496
TC2860306342,Faris,C286,20/03/2006,342
TC4140403496,Randal,C414,16/04/2003,496
TC7301201188,Zaccheus,C730,16/12/2001,188
TC7950711259,Dave,C795,24/07/2011,259
TC0400406156,Courtney,C040,08/04/2006,156
TC0121005462,Ignis,C012,08/10/2005,462
TC9840413516,Faris,C984,11/04/2013,516
TC3940416542,Ophelia,C394,01/04/2016,542
TC5671008175,William,C567,18/10/2008,175
TC5091000518,Priscilla,C509,24/10/2000,518
TC1930415978,Dave,C193,04/04/2015,978
TC5721012156,Faris,C572,05/10/2012,156
TC8860804574,William,C886,19/08/2004,574
TC3110319609,Maureen,C311,16/03/2019,609
TC4410519572,Zaccheus,C441,08/05/2019,572
TC0860210728,Maureen,C086,21/02/2010,728
TC3760420108,Quake,C376,21/04/2020,108
TC0120303015,Laetitia,C012,13/03/2003,15
TC6180209085,Dave,C618,16/02/2009,85
TC7081108537,Quake,C708,17/11/2008,537
TC8990118661,Beatrice,C899,06/01/2018,661
TC4401106651,Ethan,C440,08/11/2006,651
TC4481213387,Hamilton,C448,05/12/2013,387
TC2550202965,Beatrice,C255,06/02/2002,965
TC5770807992,Xander,C577,23/08/2007,992
TC6310820106,Sven,C631,08/08/2020,106
TC4080807259,Ethan,C408,14/08/2007,259
TC9460114873,Hamilton,C946,05/01/2014,873
TC3170817859,Sven,C317,03/08/2017,859
TC7720502157,Ophelia,C772,04/05/2002,157
TC6530910603,Randal,C653,08/09/2010,603
TC2880420855,Nobita,C288,09/04/2020,855
TC6980820201,Xander,C698,03/08/2020,201
TC5010900939,Quake,C501,24/09/2000,939
TC3070807406,George,C307,08/08/2007,406
TC4591206772,Dave,C459,13/12/2006,772
TC9070706422,Sven,C907,07/07/2006,422
TC0421102717,Jean,C042,11/11/2002,717
TC6860303380,Hamilton,C686,04/03/2003,380
TC3041207639,Tabatha,C304,08/12/2007,639
TC9521106058,Hamilton,C952,12/11/2006,58
TC3960902376,Yaeger,C396,03/09/2002,376
TC2110504420,Sven,C211,16/05/2004,420
TC5100816649,Dave,C510,11/08/2016,649
TC5810310208,Sven,C581,23/03/2010,208
TC6630708108,Sven,C663,28/07/2008,108
TC2201006959,Katnis,C220,08/10/2006,959
TC1751001192,Laetitia,C175,17/10/2001,192
TC4661107343,George,C466,20/11/2007,343
TC5340119742,Priscilla,C534,06/01/2019,742
TC9190704349,Quake,C919,08/07/2004,349
TC2790911506,William,C279,07/09/2011,506
TC7640202367,Jean,C764,26/02/2002,367
TC1391111141,Priscilla,C139,18/11/2011,141
TC9280804169,Ursula,C928,08/08/2004,169
TC8581205956,Victoria,C858,26/12/2005,956
TC2470916853,Maureen,C247,25/09/2016,853
TC4971013580,Priscilla,C497,02/10/2013,580
TC8880915949,Ignis,C888,24/09/2015,949
TC1871210632,Sven,C187,19/12/2010,632
TC9560710604,Ava,C956,11/07/2010,604
TC4870504652,Courtney,C487,03/05/2004,652
TC0400603968,Nobita,C040,12/06/2003,968
TC4821115065,William,C482,19/11/2015,65
TC7030202128,Ava,C703,07/02/2002,128
TC6860909519,Ophelia,C686,02/09/2009,519
TC4011107492,George,C401,07/11/2007,492
TC1580205495,Tabatha,C158,09/02/2005,495
TC2901019817,Priscilla,C290,05/10/2019,817
TC1580115922,Faris,C158,12/01/2015,922
TC7171110878,Quake,C717,23/11/2010,878
TC1410901130,Beatrice,C141,16/09/2001,130
TC0370415875,Dave,C037,16/04/2015,875
TC0981018012,Ophelia,C098,15/10/2018,12
TC9520704501,Priscilla,C952,10/07/2004,501
TC6920114065,Maureen,C692,13/01/2014,65
TC5191002604,Priscilla,C519,23/10/2002,604
TC1101204513,Tabatha,C110,05/12/2004,513
TC5710601126,Priscilla,C571,06/06/2001,126
TC0320419122,George,C032,21/04/2019,122
TC2200814543,Ursula,C220,12/08/2014,543
TC3220100583,Sven,C322,21/01/2000,583
TC3970104862,Nobita,C397,25/01/2004,862
TC4030816429,Ethan,C403,08/08/2016,429
TC9610809505,Maureen,C961,21/08/2009,505
TC8740408654,Dave,C874,12/04/2008,654
TC8920106892,Maureen,C892,21/01/2006,892
TC0910408677,Katnis,C091,26/04/2008,677
TC7750617518,Laetitia,C775,07/06/2017,518
TC7420818587,Hamilton,C742,08/08/2018,587
TC2201119153,Hamilton,C220,14/11/2019,153
TC1161111538,Hamilton,C116,06/11/2011,538
TC4080517775,Dave,C408,14/05/2017,775
TC2670216929,Maureen,C267,16/02/2016,929
TC9851118260,Hamilton,C985,24/11/2018,260
TC5091201533,Tabatha,C509,13/12/2001,533
TC6410715961,Jean,C641,20/07/2015,961
TC0030100108,Nobita,C003,06/01/2000,108
TC7520219778,Victoria,C752,02/02/2019,778
TC1700120459,Jean,C170,25/01/2020,459
TC3560300353,Beatrice,C356,09/03/2000,353
TC5351214982,Ava,C535,15/12/2014,982
TC6460302587,Ursula,C646,16/03/2002,587
TC9601211333,Maureen,C960,25/12/2011,333
TC4170507193,Nobita,C417,20/05/2007,193
TC0920107663,Quake,C092,04/01/2007,663
TC4650418577,Ignis,C465,27/04/2018,577
TC8391204015,Laetitia,C839,25/12/2004,15
TC2180600277,Victoria,C218,19/06/2000,277
TC8840302604,Faris,C884,02/03/2002,604
TC1980617238,Ignis,C198,17/06/2017,238
TC3300214722,William,C330,26/02/2014,722
TC3150111983,Randal,C315,14/01/2011,983
TC9740706570,George,C974,27/07/2006,570
TC1051110287,Ava,C105,08/11/2010,287
TC3050705035,Laetitia,C305,26/07/2005,35
TC0270603494,Ava,C027,28/06/2003,494
TC0720219523,Zaccheus,C072,24/02/2019,523
TC5090103903,Faris,C509,28/01/2003,903
TC6370718501,Ophelia,C637,10/07/2018,501
TC7760820852,Maureen,C776,14/08/2020,852
TC6700615721,Katnis,C670,14/06/2015,721
TC6150714223,Xander,C615,09/07/2014,223
TC8031002481,Zaccheus,C803,07/10/2002,481
TC5610803731,Laetitia,C561,09/08/2003,731
TC1430809248,William,C143,25/08/2009,248
TC8830412957,Ophelia,C883,22/04/2012,957
TC2831105617,Laetitia,C283,27/11/2005,617
TC0070618651,Xander,C007,10/06/2018,651
TC7241107849,Katnis,C724,13/11/2007,849
TC0780803578,Xander,C078,14/08/2003,578
TC2530714816,Quake,C253,21/07/2014,816
TC3160116192,Zaccheus,C316,17/01/2016,192
TC3711215275,Maureen,C371,14/12/2015,275
TC4970512092,Sven,C497,27/05/2012,92
TC7800211275,Ophelia,C780,06/02/2011,275
TC8621106088,Xander,C862,27/11/2006,88
TC0270108098,Priscilla,C027,13/01/2008,98
TC3041203623,Katnis,C304,14/12/2003,623
TC0850305521,Dave,C085,17/03/2005,521
TC2370306902,Courtney,C237,09/03/2006,902
TC4700619897,Katnis,C470,27/06/2019,897
TC6040204977,Beatrice,C604,22/02/2004,977
TC8371107327,Ignis,C837,21/11/2007,327
TC8150808243,Randal,C815,24/08/2008,243
TC0821216657,Nobita,C082,17/12/2016,657
TC3830904851,Hamilton,C383,05/09/2004,851
TC7030406526,Xander,C703,24/04/2006,526
TC1060905825,Courtney,C106,24/09/2005,825
TC1981016176,Nobita,C198,07/10/2016,176
TC2900709147,Nobita,C290,02/07/2009,147
TC0150506311,Katnis,C015,09/05/2006,311
TC0561016151,Victoria,C056,10/10/2016,151
TC3451211965,Beatrice,C345,19/12/2011,965
TC5350802692,Hamilton,C535,11/08/2002,692
TC0910510364,Xander,C091,27/05/2010,364
TC3490205208,Tabatha,C349,06/02/2005,208
TC6170405105,Faris,C617,06/04/2005,105
TC6410604666,Xander,C641,21/06/2004,666
TC6110617362,Ursula,C611,18/06/2017,362
TC3710907895,Ophelia,C371,24/09/2007,895
TC9670500656,Priscilla,C967,17/05/2000,656
TC4150512303,Ophelia,C415,22/05/2012,303
TC0051002999,Quake,C005,24/10/2002,999
TC8080400372,Quake,C808,12/04/2000,372
TC8930115737,Ethan,C893,19/01/2015,737
TC4570809025,Courtney,C457,21/08/2009,25
TC5530900787,Tabatha,C553,06/09/2000,787
TC8120113892,Katnis,C812,24/01/2013,892
TC2880819616,Laetitia,C288,17/08/2019,616
TC3430804210,Tabatha,C343,23/08/2004,210
TC1590809643,Ursula,C159,03/08/2009,643
TC1241018393,Hamilton,C124,07/10/2018,393
TC2180300747,Maureen,C218,10/03/2000,747
TC5591205514,Dave,C559,10/12/2005,514
TC0450513771,Maureen,C045,27/05/2013,771
TC9060217212,Jean,C906,06/02/2017,212
TC6110111222,Priscilla,C611,07/01/2011,222
TC3891116497,George,C389,03/11/2016,497
TC0501209991,Courtney,C050,25/12/2009,991
TC0821216086,Sven,C082,14/12/2016,86
TC1051112859,Priscilla,C105,24/11/2012,859
TC3890112990,Ethan,C389,03/01/2012,990
TC4251001443,Sven,C425,23/10/2001,443
TC0150915838,Xander,C015,17/09/2015,838
TC5621217408,Nobita,C562,28/12/2017,408
TC3270114363,Xander,C327,24/01/2014,363
TC7700805741,Laetitia,C770,12/08/2005,741
TC4130407199,William,C413,25/04/2007,199
TC8680410639,Ignis,C868,19/04/2010,639
TC0201217990,Dave,C020,04/12/2017,990
TC6211002980,Victoria,C621,18/10/2002,980
TC8730711472,Ursula,C873,15/07/2011,472
TC8480916458,Maureen,C848,23/09/2016,458
TC8690703330,Priscilla,C869,04/07/2003,330
TC9800304207,Ursula,C980,06/03/2004,207
TC9640518808,Ethan,C964,22/05/2018,808
TC1470507501,Ursula,C147,01/05/2007,501
TC1850701081,Jean,C185,24/07/2001,81
TC9860117936,Ethan,C986,16/01/2017,936
TC3310314262,Zaccheus,C331,11/03/2014,262
TC8330812878,Xander,C833,23/08/2012,878
TC3270518883,Ursula,C327,03/05/2018,883
TC4060419488,Sven,C406,22/04/2019,488
TC6181106571,Yaeger,C618,12/11/2006,571
TC3730718862,Xander,C373,25/07/2018,862
TC4670304711,Sven,C467,23/03/2004,711
TC8560806053,Maureen,C856,23/08/2006,53
TC2851008014,Ursula,C285,08/10/2008,14
TC3040504715,Beatrice,C304,12/05/2004,715
TC9460614382,Courtney,C946,03/06/2014,382
TC8100506927,Hamilton,C810,01/05/2006,927
TC8300702376,Maureen,C830,08/07/2002,376
TC5560104432,Quake,C556,28/01/2004,432
TC0971105759,Zaccheus,C097,10/11/2005,759
TC2780612057,Jean,C278,06/06/2012,57
TC1261017272,George,C126,25/10/2017,272
TC9421214666,Ava,C942,22/12/2014,666
TC6301202918,George,C630,05/12/2002,918
TC6441200449,Tabatha,C644,08/12/2000,449
TC3920410563,Ursula,C392,26/04/2010,563
TC8980702038,Ava,C898,23/07/2002,38
TC6170515988,Sven,C617,17/05/2015,988
TC0050416437,Maureen,C005,27/04/2016,437
TC6921018676,Dave,C692,06/10/2018,676
TC5891106726,Ethan,C589,24/11/2006,726
TC6100504673,Dave,C610,09/05/2004,673
TC0570712261,Katnis,C057,20/07/2012,261
TC5390515993,Jean,C539,26/05/2015,993
TC0590612489,Xander,C059,21/06/2012,489
TC7461111615,Katnis,C746,28/11/2011,615
TC0570808831,Maureen,C057,17/08/2008,831
TC3190702778,Nobita,C319,19/07/2002,778
TC9371209897,Ophelia,C937,11/12/2009,897
TC5270614060,Xander,C527,17/06/2014,60
TC1370703853,Ava,C137,26/07/2003,853
TC2740411745,Jean,C274,10/04/2011,745
TC1971002999,Sven,C197,03/10/2002,999
TC8340214493,Ophelia,C834,09/02/2014,493
TC9380603678,Faris,C938,07/06/2003,678
TC7660810917,Hamilton,C766,13/08/2010,917
TC4140718469,Beatrice,C414,20/07/2018,469
TC4851006122,Yaeger,C485,20/10/2006,122
TC5201108811,Dave,C520,12/11/2008,811
TC6810803387,Sven,C681,27/08/2003,387
TC9591016103,Faris,C959,25/10/2016,103
TC9451115314,Zaccheus,C945,23/11/2015,314
TC2490202478,Dave,C249,07/02/2002,478
TC7400406819,Faris,C740,11/04/2006,819
TC7860911416,Ethan,C786,09/09/2011,416
TC5200205174,Ava,C520,26/02/2005,174
TC2370415237,Ophelia,C237,10/04/2015,237
TC8670715091,Zaccheus,C867,04/07/2015,91
TC2390501282,Ethan,C239,13/05/2001,282
TC8520606303,Faris,C852,08/06/2006,303
TC1850109884,Faris,C185,26/01/2009,884
TC0610508527,Hamilton,C061,13/05/2008,527
TC3071107141,Courtney,C307,14/11/2007,141
TC3190119906,Quake,C319,08/01/2019,906
TC8670210574,George,C867,19/02/2010,574
TC3240814532,Faris,C324,24/08/2014,532
TC7070320002,George,C707,27/03/2020,2
TC0590816355,Yaeger,C059,14/08/2016,355
TC2880606936,Ignis,C288,06/06/2006,936
TC8101105967,Dave,C810,05/11/2005,967
TC5050114348,Maureen,C505,02/01/2014,348
TC7740920781,Priscilla,C774,11/09/2020,781
TC7451102350,William,C745,02/11/2002,350
TC7691108842,Courtney,C769,01/11/2008,842
TC5691100534,Hamilton,C569,21/11/2000,534
TC4761220820,Tabatha,C476,28/12/2020,820
TC7000900564,Laetitia,C700,28/09/2000,564
TC3290111747,George,C329,26/01/2011,747
TC4960103310,Laetitia,C496,06/01/2003,310
TC2210906654,Nobita,C221,17/09/2006,654
TC0670413979,Yaeger,C067,15/04/2013,979
TC5370202135,Ignis,C537,15/02/2002,135
TC7920201463,Yaeger,C792,10/02/2001,463
TC5671116252,Ignis,C567,07/11/2016,252
TC3460702619,William,C346,05/07/2002,619
TC8970104093,Sven,C897,08/01/2004,93
TC9890504515,Dave,C989,10/05/2004,515
TC3490202949,Faris,C349,03/02/2002,949
TC7570206190,Maureen,C757,03/02/2006,190
TC8560207143,Victoria,C856,06/02/2007,143
TC2101100327,Zaccheus,C210,22/11/2000,327
TC8700319850,Beatrice,C870,01/03/2019,850
TC8920100135,Beatrice,C892,12/01/2000,135
TC8231119232,Jean,C823,02/11/2019,232
TC6440112197,Randal,C644,15/01/2012,197
TC0210302662,Yaeger,C021,04/03/2002,662
TC4741213855,Ophelia,C474,20/12/2013,855
TC4340310035,Beatrice,C434,28/03/2010,35
TC7080914192,Ophelia,C708,10/09/2014,192
TC1090319877,Sven,C109,26/03/2019,877
TC2071203709,Ophelia,C207,25/12/2003,709
TC9930603160,Zaccheus,C993,12/06/2003,160
TC3940405287,Zaccheus,C394,15/04/2005,287
TC8380703624,Yaeger,C838,07/07/2003,624
TC8761012700,Beatrice,C876,19/10/2012,700
TC5450218532,Zaccheus,C545,08/02/2018,532
TC4100418562,Dave,C410,15/04/2018,562
TC3770909887,Zaccheus,C377,02/09/2009,887
TC3660406453,William,C366,01/04/2006,453
TC5950412007,Zaccheus,C595,02/04/2012,7
TC3630505334,Maureen,C363,19/05/2005,334
TC3420317244,Ursula,C342,11/03/2017,244
